"plot","plot_size","period","species","dbh","height_to_live_crown","total_height"
"camas_k02",1018,"longterm","laoc",23.4,11.1,17.9
"camas_k02",1018,"longterm","laoc",28.6,8.5,21.5
"camas_k02",1018,"longterm","psme",35.7,5.7,23.8
"camas_k02",1018,"longterm","psme",36,8,28.2
"camas_k02",1018,"longterm","laoc",36,10,22.1
"camas_k02",1018,"longterm","psme",39.4,12.9,22.9
"camas_k02",1018,"longterm","psme",45.6,7.4,23.8
"camas_k02",1018,"longterm","psme",49.3,7.4,24.9
"camas_k02",1018,"longterm","pipo",50,8,22.7
"camas_k02",1018,"longterm","psme",58.4,9.8,25.1
"camas_k02",400,"pretreatment","psme",0.600000024,0.200000003,1.799999952
"camas_k02",400,"pretreatment","psme",8.600000381,2.299999952,10.19999981
"camas_k02",400,"pretreatment","psme",9.100000381,2.299999952,4.099999905
"camas_k02",400,"pretreatment","abgr",16.60000038,1,10.19999981
"camas_k02",400,"pretreatment","psme",17.60000038,2.200000048,14.19999981
"camas_k02",400,"pretreatment","pipo",32.20000076,12,13.10000038
"camas_k02",400,"pretreatment","psme",35.5,4,17
"camas_k04",1018,"longterm","psme",16.5,4.3,9.8
"camas_k04",1018,"longterm","psme",54.9,11.6,31.4
"camas_k04",1018,"longterm","pipo",57.5,12,20.3
"camas_k04",1018,"longterm","pipo",59,15,26.5
"camas_k04",100,"pretreatment","abgr",13.5,1,13.5
"camas_k04",100,"pretreatment","abgr",13.5,3,14
"camas_k04",100,"pretreatment","psme",15,3,15
"camas_k04",100,"pretreatment","abgr",16.5,3,8
"camas_k04",100,"pretreatment","abgr",21.10000038,2.5,16.5
"camas_k04",100,"pretreatment","pipo",24.39999962,5,12
"camas_k04",100,"pretreatment","pipo",41.40000153,13,20.5
"camas_k06",452,"longterm","psme",16.4,3.3,13.7
"camas_k06",452,"longterm","pipo",17.9,4.6,13.6
"camas_k06",452,"longterm","pipo",18.2,2.9,14.1
"camas_k06",452,"longterm","pipo",19.9,2,11.1
"camas_k06",452,"longterm","pipo",22.7,5.4,13.7
"camas_k06",452,"longterm","pipo",22.8,3,14
"camas_k06",452,"longterm","psme",44.1,8.6,34.6
"camas_k06",452,"longterm","psme",48.7,9,26.9
"camas_k06",452,"longterm","psme",51,3.2,27.8
"camas_k06",452,"longterm","psme",51.4,14.6,30.2
"camas_k06",452,"longterm","psme",51.8,4.7,30
"camas_k06",452,"longterm","psme",56.1,6.7,31.5
"camas_k06",400,"pretreatment","psme",3,1,4.199999809
"camas_k06",400,"pretreatment","pipo",4.300000191,1,2.099999905
"camas_k06",400,"pretreatment","pipo",9.699999809,1.600000024,4.599999905
"camas_k06",400,"pretreatment","pipo",13.30000019,1.399999976,8.5
"camas_k06",400,"pretreatment","pipo",14,6,13.5
"camas_k06",400,"pretreatment","pipo",14.60000038,0.5,7.599999905
"camas_k06",400,"pretreatment","psme",19.79999924,7.5,21.5
"camas_k06",400,"pretreatment","psme",25.39999962,2.200000048,28.5
"camas_k06",400,"pretreatment","psme",25.79999924,8.100000381,26.20000076
"camas_k06",400,"pretreatment","psme",39.29999924,11.19999981,28.79999924
"camas_k06",400,"pretreatment","psme",45.59999847,1.299999952,29.29999924
"camas_k06",400,"pretreatment","psme",46.79999924,6.099999905,30
"camas_k06",400,"pretreatment","psme",47.79999924,3.5,30.20000076
"camas_k06",400,"pretreatment","psme",52,4,30.89999962
"camas_k08",616,"longterm","pipo",13.6,1.1,7.5
"camas_k08",616,"longterm","psme",14,1.4,10.2
"camas_k08",616,"longterm","psme",19.3,2.3,10.7
"camas_k08",616,"longterm","psme",22.2,0,9.9
"camas_k08",616,"longterm","psme",25,0,13.5
"camas_k08",616,"longterm","pipo",28.5,1.9,18.1
"camas_k08",1018,"longterm","pipo",33.2,2.1,18.5
"camas_k08",1018,"longterm","pipo",34.1,7.2,17.9
"camas_k08",1018,"longterm","pipo",35.4,6.2,18
"camas_k08",1018,"longterm","pipo",38.1,1.9,16.9
"camas_k08",900,"pretreatment","pipo",1,0.400000006,1.700000048
"camas_k08",900,"pretreatment","pipo",1.100000024,0.400000006,1.399999976
"camas_k08",900,"pretreatment","pipo",1.200000048,0.400000006,1.5
"camas_k08",900,"pretreatment","psme",1.399999976,0.800000012,1.399999976
"camas_k08",900,"pretreatment","pipo",2,0.5,1.899999976
"camas_k08",900,"pretreatment","pipo",2.5,1,2
"camas_k08",900,"pretreatment","pipo",3,0.100000001,1.899999976
"camas_k08",900,"pretreatment","psme",4.900000095,0,2.400000095
"camas_k08",900,"pretreatment","pipo",5,0,1.799999952
"camas_k08",900,"pretreatment","psme",5.5,0,3.200000048
"camas_k08",900,"pretreatment","psme",5.599999905,0.5,3
"camas_k08",900,"pretreatment","pipo",6.5,0.100000001,6.800000191
"camas_k08",900,"pretreatment","pipo",7,0.300000012,5.300000191
"camas_k08",900,"pretreatment","psme",11.30000019,1.799999952,10.80000019
"camas_k08",900,"pretreatment","pipo",11.69999981,0.899999976,3.099999905
"camas_k08",900,"pretreatment","pipo",15,0.200000003,10.10000038
"camas_k08",900,"pretreatment","psme",15.10000038,0,13.30000019
"camas_k08",900,"pretreatment","psme",18,1.700000048,14.80000019
"camas_k08",900,"pretreatment","psme",18.5,0.600000024,11.89999962
"camas_k08",900,"pretreatment","psme",18.60000038,0.200000003,15.19999981
"camas_k08",900,"pretreatment","pipo",18.79999924,1.899999976,8
"camas_k08",900,"pretreatment","pipo",18.79999924,0.300000012,12.30000019
"camas_k08",900,"pretreatment","psme",19.5,1.5,15.5
"camas_k08",900,"pretreatment","psme",19.60000038,0,15.10000038
"camas_k08",900,"pretreatment","psme",20.29999924,0.100000001,15.30000019
"camas_k08",900,"pretreatment","psme",21.39999962,0,14
"camas_k08",900,"pretreatment","pipo",23,0,13.80000019
"camas_k08",900,"pretreatment","pipo",23.10000038,2.5,14.89999962
"camas_k08",900,"pretreatment","pipo",24.29999924,1.799999952,15.10000038
"camas_k08",900,"pretreatment","psme",25.70000076,4.199999809,19.20000076
"camas_k08",900,"pretreatment","pipo",26.5,6.199999809,14.19999981
"camas_k08",900,"pretreatment","psme",27.60000038,0,19.79999924
"camas_k08",900,"pretreatment","pipo",28.60000038,1.299999952,15.30000019
"camas_k08",900,"pretreatment","psme",30.89999962,0.100000001,15.60000038
"camas_k08",900,"pretreatment","psme",42.20000076,4,20.10000038
"camas_k08",900,"pretreatment","psme",59.40000153,5.5,23.60000038
"camas_k08",900,"pretreatment","psme",59.70000076,4.300000191,13.80000019
"camas_k10",254,"longterm","psme",0.3,0.3,1.7
"camas_k10",254,"longterm","acma",0.4,0,1.8
"camas_k10",254,"longterm","psme",0.4,0,1.8
"camas_k10",254,"longterm","psme",0.5,0,2
"camas_k10",254,"longterm","acma",0.5,0,1.8
"camas_k10",254,"longterm","acma",0.5,0,1.7
"camas_k10",254,"longterm","acma",0.7,0,2.3
"camas_k10",254,"longterm","pipo",2.1,1.2,2.1
"camas_k10",254,"longterm","psme",4.4,0.4,3.4
"camas_k10",254,"longterm","psme",22.9,2.3,12.8
"camas_k10",1018,"longterm","pipo",39.6,7.5,21
"camas_k10",1018,"longterm","pipo",42.5,5.7,18.5
"camas_k10",1018,"longterm","psme",48,7.3,23.1
"camas_k10",1018,"longterm","pipo",63.1,2.4,24.5
"camas_k10",400,"pretreatment","psme",0.300000012,0.200000003,1.399999976
"camas_k10",400,"pretreatment","psme",0.5,0,1.600000024
"camas_k10",400,"pretreatment","sasc",0.600000024,1.5,3.200000048
"camas_k10",400,"pretreatment","psme",0.899999976,0,2
"camas_k10",400,"pretreatment","psme",1.200000048,0,1.5
"camas_k10",400,"pretreatment","pipo",1.600000024,0.200000003,1.700000048
"camas_k10",400,"pretreatment","psme",1.700000048,0.100000001,1.700000048
"camas_k10",400,"pretreatment","sasc",1.899999976,1,3.5
"camas_k10",400,"pretreatment","psme",4,0,6.199999809
"camas_k10",400,"pretreatment","psme",4.5,0.100000001,3.200000048
"camas_k10",400,"pretreatment","psme",5.199999809,0,3.799999952
"camas_k10",400,"pretreatment","psme",6,0.200000003,6.300000191
"camas_k10",400,"pretreatment","psme",6.599999905,0,7.300000191
"camas_k10",400,"pretreatment","psme",8.5,0,8.600000381
"camas_k10",400,"pretreatment","psme",9.899999619,0,12.80000019
"camas_k10",400,"pretreatment","psme",11,0.5,10
"camas_k10",400,"pretreatment","psme",14.60000038,0,4.800000191
"camas_k10",400,"pretreatment","psme",26.20000076,0,19.20000076
"camas_k10",400,"pretreatment","psme",30.5,0,19.29999924
"camas_k10",400,"pretreatment","pipo",32.40000153,1.399999976,14.10000038
"camas_k12",201,"longterm","psme",0.9,0.4,1.9
"camas_k12",201,"longterm","psme",1.7,0,2.2
"camas_k12",201,"longterm","psme",3.1,0.3,3.2
"camas_k12",201,"longterm","pipo",4.1,0.7,2.6
"camas_k12",201,"longterm","abgr",17.6,0,12
"camas_k12",201,"longterm","abgr",18.7,1.1,12
"camas_k12",1018,"longterm","abgr",35.6,0,15.3
